tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;airportid_1;airportid_2;airport_1;airport_2;nsmiles;passengers;fare;carrier_lg;large_ms;fare_lg;carrier_low;lf_ms;fare_low;tbl1apk;Columna2;Columna1
Table1a;2021;3;30194;31123;Dallas/Fort Worth, TX;St. Louis, MO;11259;15016;DAL;STL;550;460;16730;WN;9976;16727;WN;9976;16727;202131125915016DALSTL;;
Table1a;2021;3;30194;31123;Dallas/Fort Worth, TX;St. Louis, MO;11298;15016;DFW;STL;550;404;17399;AA;9795;17346;AA;9795;17346;202131129815016DFWSTL;;
Table1a;2021;3;30194;31135;Dallas/Fort Worth, TX;Myrtle Beach, SC;11259;13577;DAL;MYR;1048;38;16745;WN;8949;16364;WN;8949;16364;202131125913577DALMYR;;
Table1a;2021;3;30194;31135;Dallas/Fort Worth, TX;Myrtle Beach, SC;11298;13577;DFW;MYR;1048;195;16615;AA;8389;17296;NK;881;8779;202131129813577DFWMYR;;
Table1a;2021;3;30194;31136;Dallas/Fort Worth, TX;Jacksonville, FL;11259;12451;DAL;JAX;918;52;19004;WN;8998;18334;WN;8998;18334;202131125912451DALJAX;;
Table1a;2021;3;30194;31136;Dallas/Fort Worth, TX;Jacksonville, FL;11298;12451;DFW;JAX;918;414;19956;AA;9485;19693;AA;9485;19693;202131129812451DFWJAX;;
Table1a;2021;3;30194;31295;Dallas/Fort Worth, TX;Detroit, MI;11259;11433;DAL;DTW;986;65;16172;WN;8754;14938;WN;8754;14938;202131125911433DALDTW;;
Table1a;2021;3;30194;31295;Dallas/Fort Worth, TX;Detroit, MI;11298;11433;DFW;DTW;986;1236;16313;DL;4949;17331;AA;4005;16637;202131129811433DFWDTW;;
Table1a;2021;3;30194;31423;Dallas/Fort Worth, TX;Des Moines, IA;11259;11423;DAL;DSM;624;7;18330;WN;9844;18347;WN;9844;18347;202131125911423DALDSM;;
Table1a;2021;3;30194;31423;Dallas/Fort Worth, TX;Des Moines, IA;11298;11423;DFW;DSM;624;180;21201;AA;8867;21454;UA;699;18721;202131129811423DFWDSM;;
Table1a;2021;3;30194;31453;Dallas/Fort Worth, TX;Houston, TX;11259;12191;DAL;HOU;247;560;16535;WN;9971;16542;WN;9971;16542;202131125912191DALHOU;;
Table1a;2021;3;30194;31453;Dallas/Fort Worth, TX;Houston, TX;11259;12266;DAL;IAH;247;107;14983;WN;10000;14983;WN;10000;14983;202131125912266DALIAH;;
Table1a;2021;3;30194;31453;Dallas/Fort Worth, TX;Houston, TX;11298;12191;DFW;HOU;247;132;15734;AA;9727;15742;AA;9727;15742;202131129812191DFWHOU;;
Table1a;2021;3;30194;31453;Dallas/Fort Worth, TX;Houston, TX;11298;12266;DFW;IAH;247;442;16419;AA;5483;16007;AA;5483;16007;202131129812266DFWIAH;;
Table1a;2021;3;30194;31454;Dallas/Fort Worth, TX;Orlando, FL;11259;13204;DAL;MCO;985;753;15603;WN;9827;15527;WN;9827;15527;202131125913204DALMCO;;
Table1a;2021;3;30194;31454;Dallas/Fort Worth, TX;Orlando, FL;11298;13204;DFW;MCO;985;1623;16106;AA;7233;18334;NK;2005;8691;202131129813204DFWMCO;;
Table1a;2021;3;30194;31481;Dallas/Fort Worth, TX;Panama City, FL;11259;11481;DAL;ECP;685;247;15396;WN;9842;15363;WN;9842;15363;202131125911481DALECP;;
Table1a;2021;3;30194;31481;Dallas/Fort Worth, TX;Panama City, FL;11298;11481;DFW;ECP;685;172;19107;AA;9034;19139;DL;663;18269;202131129811481DFWECP;;
Table1a;2021;3;30194;31504;Dallas/Fort Worth, TX;Valparaiso, FL;11259;15624;DAL;VPS;641;99;16524;WN;9639;16470;WN;9639;16470;202131125915624DALVPS;;
Table1a;2021;3;30194;31504;Dallas/Fort Worth, TX;Valparaiso, FL;11298;15624;DFW;VPS;641;424;18418;AA;9726;18437;DL;195;16947;202131129815624DFWVPS;;
Table1a;2021;3;30194;31638;Dallas/Fort Worth, TX;Fresno, CA;11259;11638;DAL;FAT;1325;19;22011;WN;8409;22905;AS;1420;15660;202131125911638DALFAT;;
Table1a;2021;3;30194;31638;Dallas/Fort Worth, TX;Fresno, CA;11298;11638;DFW;FAT;1325;176;24752;AA;8845;25002;UA;451;22538;202131129811638DFWFAT;;
Table1a;2021;3;30194;31650;Dallas/Fort Worth, TX;Minneapolis/St. Paul, MN;11259;13487;DAL;MSP;853;118;13046;WN;9889;12991;WN;9889;12991;202131125913487DALMSP;;
Table1a;2021;3;30194;31650;Dallas/Fort Worth, TX;Minneapolis/St. Paul, MN;11298;13487;DFW;MSP;853;1272;12998;DL;4874;13246;DL;4874;13246;202131129813487DFWMSP;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11259;11618;DAL;EWR;1428;5;21933;DL;10000;21933;DL;10000;21933;202131125911618DALEWR;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11259;12197;DAL;HPN;1428;1;23018;DL;10000;23018;DL;10000;23018;202131125912197DALHPN;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11259;12391;DAL;ISP;1428;24;17965;WN;10000;17965;WN;10000;17965;202131125912391DALISP;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11259;12478;DAL;JFK;1428;4;18584;DL;9697;18934;DL;9697;18934;202131125912478DALJFK;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11259;12953;DAL;LGA;1428;379;16962;WN;9759;16898;WN;9759;16898;202131125912953DALLGA;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11298;11618;DFW;EWR;1428;1239;20173;UA;4243;19759;F9;1144;10333;202131129811618DFWEWR;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11298;12197;DFW;HPN;1428;13;27756;AA;5820;27755;AA;5820;27755;202131129812197DFWHPN;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11298;12391;DFW;ISP;1428;5;29583;AA;8000;31521;F9;1556;14000;202131129812391DFWISP;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11298;12478;DFW;JFK;1428;516;19211;DL;3431;20954;B6;2968;16777;202131129812478DFWJFK;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11298;12953;DFW;LGA;1428;1784;20468;AA;5109;23055;DL;3601;18840;202131129812953DFWLGA;;
Table1a;2021;3;30194;31703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);11298;15070;DFW;SWF;1428;2;22521;AA;9565;22405;AA;9565;22405;202131129815070DFWSWF;;
Table1a;2021;3;30194;31714;Dallas/Fort Worth, TX;Fort Myers, FL;11259;14635;DAL;RSW;1017;92;17333;WN;9600;17182;WN;9600;17182;202131125914635DALRSW;;
Table1a;2021;3;30194;31714;Dallas/Fort Worth, TX;Fort Myers, FL;11298;14635;DFW;RSW;1017;300;20415;AA;9609;20325;AA;9609;20325;202131129814635DFWRSW;;
Table1a;2021;3;30194;31871;Dallas/Fort Worth, TX;Greenville/Spartanburg, SC;11259;11996;DAL;GSP;862;28;19888;WN;8000;19317;WN;8000;19317;202131125911996DALGSP;;
Table1a;2021;3;30194;31871;Dallas/Fort Worth, TX;Greenville/Spartanburg, SC;11298;11996;DFW;GSP;862;167;22335;AA;8584;22039;AA;8584;22039;202131129811996DFWGSP;;
Table1a;2021;3;30194;31884;Dallas/Fort Worth, TX;Spokane, WA;11259;11884;DAL;GEG;1486;42;22818;WN;6803;23472;AS;3018;21091;202131125911884DALGEG;;
Table1a;2021;3;30194;31884;Dallas/Fort Worth, TX;Spokane, WA;11298;11884;DFW;GEG;1486;162;27033;AA;5251;30672;DL;2482;22163;202131129811884DFWGEG;;
Table1a;2021;3;30194;31986;Dallas/Fort Worth, TX;Grand Rapids, MI;11259;11986;DAL;GRR;931;23;21482;WN;8785;20530;WN;8785;20530;202131125911986DALGRR;;
Table1a;2021;3;30194;31986;Dallas/Fort Worth, TX;Grand Rapids, MI;11298;11986;DFW;GRR;931;212;24731;AA;7981;25083;DL;1420;23990;202131129811986DFWGRR;;
Table1a;2021;3;30194;32206;Dallas/Fort Worth, TX;Harlingen/San Benito, TX;11259;12206;DAL;HRL;461;130;14668;WN;9992;14674;WN;9992;14674;202131125912206DALHRL;;
Table1a;2021;3;30194;32206;Dallas/Fort Worth, TX;Harlingen/San Benito, TX;11298;12206;DFW;HRL;461;85;16614;AA;8766;16152;AA;8766;16152;202131129812206DFWHRL;;
Table1a;2021;3;30194;32211;Dallas/Fort Worth, TX;Las Vegas, NV;11259;12889;DAL;LAS;1067;984;17082;WN;9954;17081;WN;9954;17081;202131125912889DALLAS;;
Table1a;2021;3;30194;32211;Dallas/Fort Worth, TX;Las Vegas, NV;11298;12889;DFW;LAS;1067;1966;18307;AA;6275;22153;NK;2037;10752;202131129812889DFWLAS;;
Table1a;2021;3;30194;32337;Dallas/Fort Worth, TX;Indianapolis, IN;11259;12339;DAL;IND;761;130;18096;WN;9707;17960;WN;9707;17960;202131125912339DALIND;;
Table1a;2021;3;30194;32337;Dallas/Fort Worth, TX;Indianapolis, IN;11298;12339;DFW;IND;761;469;20178;AA;9478;20086;AA;9478;20086;202131129812339DFWIND;;
Table1a;2021;3;30194;32457;Dallas/Fort Worth, TX;San Francisco, CA (Metropolitan Area);11259;13796;DAL;OAK;1476;344;18784;WN;9930;18780;WN;9930;18780;202131125913796DALOAK;;
Table1a;2021;3;30194;32457;Dallas/Fort Worth, TX;San Francisco, CA (Metropolitan Area);11259;14771;DAL;SFO;1476;162;20697;AS;7638;20608;WN;2268;20334;202131125914771DALSFO;;
Table1a;2021;3;30194;32457;Dallas/Fort Worth, TX;San Francisco, CA (Metropolitan Area);11259;14831;DAL;SJC;1476;246;20427;WN;9845;20418;WN;9845;20418;202131125914831DALSJC;;
Table1a;2021;3;30194;32457;Dallas/Fort Worth, TX;San Francisco, CA (Metropolitan Area);11298;13796;DFW;OAK;1476;40;15763;DL;4812;22076;F9;1129;7710;202131129813796DFWOAK;;
Table1a;2021;3;30194;32457;Dallas/Fort Worth, TX;San Francisco, CA (Metropolitan Area);11298;14771;DFW;SFO;1476;1052;22936;AA;7807;23145;AA;7807;23145;202131129814771DFWSFO;;
Table1a;2021;3;30194;32457;Dallas/Fort Worth, TX;San Francisco, CA (Metropolitan Area);11298;14831;DFW;SJC;1476;219;26773;AA;8674;27199;DL;601;23064;202131129814831DFWSJC;;
Table1a;2021;3;30194;32467;Dallas/Fort Worth, TX;Miami, FL (Metropolitan Area);11259;11697;DAL;FLL;1121;388;13606;WN;9882;13541;WN;9882;13541;202131125911697DALFLL;;
Table1a;2021;3;30194;32467;Dallas/Fort Worth, TX;Miami, FL (Metropolitan Area);11259;13303;DAL;MIA;1121;220;15106;WN;9629;15045;WN;9629;15045;202131125913303DALMIA;;
Table1a;2021;3;30194;32467;Dallas/Fort Worth, TX;Miami, FL (Metropolitan Area);11298;11697;DFW;FLL;1121;918;14458;AA;7103;15960;NK;2687;9732;202131129811697DFWFLL;;
Table1a;2021;3;30194;32467;Dallas/Fort Worth, TX;Miami, FL (Metropolitan Area);11298;13303;DFW;MIA;1121;1038;18937;AA;9335;19303;F9;395;8666;202131129813303DFWMIA;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11259;10800;DAL;BUR;1246;141;17131;WN;9869;17149;WN;9869;17149;202131125910800DALBUR;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11259;12892;DAL;LAX;1246;961;14872;WN;7119;15339;AS;2827;13590;202131125912892DALLAX;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11259;12954;DAL;LGB;1246;144;14398;WN;9955;14386;WN;9955;14386;202131125912954DALLGB;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11259;13891;DAL;ONT;1246;156;18188;WN;9958;18200;WN;9958;18200;202131125913891DALONT;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11259;14908;DAL;SNA;1246;136;20929;WN;9912;20830;WN;9912;20830;202131125914908DALSNA;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11298;10800;DFW;BUR;1246;163;21601;AA;9686;21570;AA;9686;21570;202131129810800DFWBUR;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11298;12892;DFW;LAX;1246;2541;16593;AA;6326;18837;NK;1924;9086;202131129812892DFWLAX;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11298;12954;DFW;LGB;1246;51;17428;AA;9231;17433;DL;620;16362;202131129812954DFWLGB;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11298;13891;DFW;ONT;1246;579;18626;AA;8415;20097;F9;1313;8405;202131129813891DFWONT;;
Table1a;2021;3;30194;32575;Dallas/Fort Worth, TX;Los Angeles, CA (Metropolitan Area);11298;14908;DFW;SNA;1246;748;23759;AA;9496;23866;NK;108;8616;202131129814908DFWSNA;;
Table1a;2021;3;30194;32600;Dallas/Fort Worth, TX;Little Rock, AR;11259;12992;DAL;LIT;304;72;13948;WN;10000;13948;WN;10000;13948;202131125912992DALLIT;;
Table1a;2021;3;30194;32600;Dallas/Fort Worth, TX;Little Rock, AR;11298;12992;DFW;LIT;304;171;16458;AA;9880;16469;AA;9880;16469;202131129812992DFWLIT;;
Table1a;2021;3;30194;32896;Dallas/Fort Worth, TX;Lubbock, TX;11259;12896;DAL;LBB;293;196;14464;WN;10000;14464;WN;10000;14464;202131125912896DALLBB;;
Table1a;2021;3;30194;32896;Dallas/Fort Worth, TX;Lubbock, TX;11298;12896;DFW;LBB;293;131;15946;AA;9950;15964;AA;9950;15964;202131129812896DFWLBB;;
Table1a;2021;3;30194;33044;Dallas/Fort Worth, TX;Louisville, KY;11259;14730;DAL;SDF;733;79;17719;WN;9530;17649;WN;9530;17649;202131125914730DALSDF;;
Table1a;2021;3;30194;33044;Dallas/Fort Worth, TX;Louisville, KY;11298;14730;DFW;SDF;733;262;19445;AA;9527;19301;UA;112;18248;202131129814730DFWSDF;;
Table1a;2021;3;30194;33158;Dallas/Fort Worth, TX;Midland/Odessa, TX;11259;13158;DAL;MAF;319;150;15329;WN;9964;15341;WN;9964;15341;202131125913158DALMAF;;
Table1a;2021;3;30194;33158;Dallas/Fort Worth, TX;Midland/Odessa, TX;11298;13158;DFW;MAF;319;115;17523;AA;9792;17490;AA;9792;17490;202131129813158DFWMAF;;
